date,avg,2020,covid
1,55,61,2
2,57.5,57,2
3,56.5,63,2
4,46.5,54,2
5,53.5,47,2
6,46,43,2
7,54.5,61,4
8,59,53,5
9,55.5,65,5
10,54.5,62,6
11,47.5,42,6
12,60.5,49,6
13,66,67,6
14,44.5,62,13
15,61,59,20
16,46,61,27
17,53,45,33
18,52,36,49
19,49,30,68
20,45.5,38,95
21,48.5,46,100
22,67.5,36,111
23,66,47,152
24,59.5,42,191
25,45.5,33,204
26,62.5,2,231
27,58,,347
28,60,,378
29,75,,425
30,65,,503
31,67,,599
