date,avg,2020,covid
1,786.5,552,1
2,563,581,1
3,632,526,1
4,558,493,7
5,613,521,11
6,588,548,13
7,593.5,486,14
8,595,527,14
9,603.5,496,19
10,548.5,503,20
11,575.5,542,28
12,598.5,453,32
13,592,482,40
14,609,492,53
15,610.5,486,69
16,596,456,94
17,555,431,144
18,618,390,190
19,571.5,374,231
20,622.5,394,292
21,622.5,392,351
22,630,375,421
23,628,423,536
24,593,416,662
25,596,431,799
26,577.5,400,1216
27,628,401,1465
28,601,333,1804
29,649.5,274,2136
30,645,112,2474
31,618.5,,3011
